"rules","support","confidence","coverage","lift","count"
"1","{} => {Mango Juices}",0.0127259752616556,0.0127259752616556,1,1,107
"2","{} => {Cakes}",0.0129638439581351,0.0129638439581351,1,1,109
"3","{} => {Shaving Blade & Razors}",0.0136774500475737,0.0136774500475737,1,1,115
"4","{} => {Vermicelli}",0.0118934348239772,0.0118934348239772,1,1,100
"5","{} => {Toothpaste}",0.0126070409134158,0.0126070409134158,1,1,106
"6","{} => {Healthy & Digestive Biscuits}",0.0147478591817317,0.0147478591817317,1,1,124
"7","{} => {Ready Mix}",0.0115366317792578,0.0115366317792578,1,1,97
"8","{} => {Aluminium Foil & Cling Wrap}",0.0160561370123692,0.0160561370123692,1,1,135
"9","{} => {Other Oils}",0.0174833491912464,0.0174833491912464,1,1,147
"10","{} => {Corn Snacks}",0.0185537583254044,0.0185537583254044,1,1,156
"11","{} => {Buns & Pavs}",0.0231921979067555,0.0231921979067555,1,1,195
"12","{} => {Ice Creams & Desserts}",0.0205756422454805,0.0205756422454805,1,1,173
"13","{} => {Other Sweets}",0.020337773549001,0.020337773549001,1,1,171
"14","{} => {Instant Noodles}",0.0199809705042816,0.0199809705042816,1,1,168
"15","{} => {Curd}",0.02604662226451,0.02604662226451,1,1,219
"16","{} => {Cooking Sauce}",0.0217649857278782,0.0217649857278782,1,1,183
"17","{} => {Cookies}",0.0240247383444339,0.0240247383444339,1,1,202
"18","{} => {Phenyles & Acids}",0.0212892483349191,0.0212892483349191,1,1,179
"19","{} => {Organic Salt}",0.0196241674595623,0.0196241674595623,1,1,165
"20","{} => {Sugar & Jaggery}",0.0196241674595623,0.0196241674595623,1,1,165
"21","{} => {Yogurt & Lassi}",0.0277117031398668,0.0277117031398668,1,1,233
"22","{} => {Other Flours}",0.0178401522359657,0.0178401522359657,1,1,150
"23","{} => {Honey}",0.0246194100856327,0.0246194100856327,1,1,207
"24","{} => {Regular Pasta}",0.0229543292102759,0.0229543292102759,1,1,193
"25","{} => {Organic Flours}",0.0246194100856327,0.0246194100856327,1,1,207
"26","{} => {Basmati Rice}",0.0289010466222645,0.0289010466222645,1,1,243
"27","{} => {Cooking Paste}",0.0272359657469077,0.0272359657469077,1,1,229
"28","{} => {Mosquito Repellent}",0.0281874405328259,0.0281874405328259,1,1,237
"29","{} => {Organic Rice & Rice Products}",0.0337773549000951,0.0337773549000951,1,1,284
"30","{} => {Ground Coffee}",0.0336584205518554,0.0336584205518554,1,1,283
"31","{} => {Rice Flour}",0.0230732635585157,0.0230732635585157,1,1,194
"32","{} => {Chips}",0.0357992388201713,0.0357992388201713,1,1,301
"33","{} => {Snacky Nuts}",0.039605137963844,0.039605137963844,1,1,333
"34","{} => {Organic Masalas & Spices}",0.0344909609895338,0.0344909609895338,1,1,290
"35","{} => {Ghee}",0.0334205518553758,0.0334205518553758,1,1,281
"36","{} => {Liquid Soaps & Bars}",0.0374643196955281,0.0374643196955281,1,1,315
"37","{} => {Organic Dals & Pulses}",0.0415080875356803,0.0415080875356803,1,1,349
"38","{} => {Jaggery}",0.0342530922930542,0.0342530922930542,1,1,288
"39","{} => {Raisins}",0.0444814462416746,0.0444814462416746,1,1,374
"40","{} => {Glucose}",0.0486441484300666,0.0486441484300666,1,1,409
"41","{} => {Marie & Milk Biscuits}",0.0486441484300666,0.0486441484300666,1,1,409
"42","{} => {Maida}",0.05209324452902,0.05209324452902,1,1,438
"43","{} => {Other Dry Fruits}",0.0570884871550904,0.0570884871550904,1,1,480
"44","{} => {Health Drinks}",0.0555423406279734,0.0555423406279734,1,1,467
"45","{} => {Cream Biscuits}",0.0581588962892483,0.0581588962892483,1,1,489
"46","{} => {Besan}",0.0572074215033302,0.0572074215033302,1,1,481
"47","{} => {Almonds}",0.0618458610846813,0.0618458610846813,1,1,520
"48","{} => {Boiled Rice}",0.0622026641294006,0.0622026641294006,1,1,523
"49","{} => {Raw Peanuts}",0.0585156993339676,0.0585156993339676,1,1,492
"50","{} => {Cashews}",0.061964795432921,0.061964795432921,1,1,521
"51","{} => {Sunflower Oils}",0.0802806850618459,0.0802806850618459,1,1,675
"52","{} => {Other Rice Products}",0.0706470028544244,0.0706470028544244,1,1,594
"53","{} => {Avalakki / Poha}",0.0768315889628925,0.0768315889628925,1,1,646
"54","{} => {Bread}",0.11976688867745,0.11976688867745,1,1,1007
"55","{} => {Exotic Vegetables}",0.121550903901047,0.121550903901047,1,1,1022
"56","{} => {Urad Dal}",0.102402473834443,0.102402473834443,1,1,861
"57","{} => {Raw Rice}",0.124167459562322,0.124167459562322,1,1,1044
"58","{} => {Namkeen}",0.1459324452902,0.1459324452902,1,1,1227
"59","{} => {Organic F&V}",0.168292102759277,0.168292102759277,1,1,1415
"60","{} => {Sooji & Rava}",0.131898192197907,0.131898192197907,1,1,1109
"61","{} => {Moong Dal}",0.134514747859182,0.134514747859182,1,1,1131
"62","{} => {Sugar}",0.159015223596575,0.159015223596575,1,1,1337
"63","{} => {Toor Dal}",0.151879162702188,0.151879162702188,1,1,1277
"64","{} => {Whole Spices}",0.20337773549001,0.20337773549001,1,1,1710
"65","{} => {Banana}",0.259633682207422,0.259633682207422,1,1,2183
"66","{} => {Other Dals}",0.232159847764034,0.232159847764034,1,1,1952
"67","{} => {Brinjals}",0.271764985727878,0.271764985727878,1,1,2285
"68","{} => {Gourd & Cucumber}",0.299595623215985,0.299595623215985,1,1,2519
"69","{} => {Beans}",0.398073263558516,0.398073263558516,1,1,3347
"70","{} => {Root Vegetables}",0.413058991436727,0.413058991436727,1,1,3473
"71","{} => {Other Vegetables}",0.426736441484301,0.426736441484301,1,1,3588
"72","{Instant Noodles} => {Beans}",0.0117745004757374,0.589285714285714,0.0199809705042816,1.48034487174015,99
"73","{Beans} => {Instant Noodles}",0.0117745004757374,0.0295787272184045,0.398073263558516,1.48034487174015,99
"74","{Instant Noodles} => {Root Vegetables}",0.0116555661274976,0.583333333333333,0.0199809705042816,1.41222766100394,98
"75","{Root Vegetables} => {Instant Noodles}",0.0116555661274976,0.0282176792398503,0.413058991436727,1.41222766100394,98
"76","{Curd} => {Root Vegetables}",0.010941960038059,0.420091324200913,0.02604662226451,1.01702500831595,92
"77","{Root Vegetables} => {Curd}",0.010941960038059,0.0264900662251656,0.413058991436727,1.01702500831595,92
"78","{Cookies} => {Other Vegetables}",0.0102283539486204,0.425742574257426,0.0240247383444339,0.99767100455865,86
"79","{Other Vegetables} => {Cookies}",0.0102283539486204,0.0239687848383501,0.426736441484301,0.99767100455865,86
"80","{Organic Salt} => {Sugar & Jaggery}",0.0196241674595623,1,0.0196241674595623,50.9575757575758,165
"81","{Sugar & Jaggery} => {Organic Salt}",0.0196241674595623,1,0.0196241674595623,50.9575757575758,165
"82","{Yogurt & Lassi} => {Root Vegetables}",0.0130827783063749,0.472103004291845,0.0277117031398668,1.14294329400686,110
"83","{Root Vegetables} => {Yogurt & Lassi}",0.0130827783063749,0.0316729052692197,0.413058991436727,1.14294329400686,110
"84","{Yogurt & Lassi} => {Other Vegetables}",0.0114176974310181,0.412017167381974,0.0277117031398668,0.965507342070134,96
"85","{Other Vegetables} => {Yogurt & Lassi}",0.0114176974310181,0.0267558528428094,0.426736441484301,0.965507342070134,96
"86","{Other Flours} => {Sooji & Rava}",0.0110608943862988,0.62,0.0178401522359657,4.70059513074842,93
"87","{Sooji & Rava} => {Other Flours}",0.0110608943862988,0.0838593327321912,0.131898192197907,4.70059513074842,93
"88","{Honey} => {Root Vegetables}",0.010941960038059,0.444444444444444,0.0246194100856327,1.07598297981252,92
"89","{Root Vegetables} => {Honey}",0.010941960038059,0.0264900662251656,0.413058991436727,1.07598297981252,92
"90","{Honey} => {Other Vegetables}",0.0108230256898192,0.439613526570048,0.0246194100856327,1.03017573338934,91
"91","{Other Vegetables} => {Honey}",0.0108230256898192,0.0253623188405797,0.426736441484301,1.03017573338934,91
"92","{Organic Flours} => {Organic F&V}",0.0102283539486204,0.415458937198068,0.0246194100856327,2.46867755756986,86
"93","{Organic F&V} => {Organic Flours}",0.0102283539486204,0.0607773851590106,0.168292102759277,2.46867755756986,86
"94","{Organic Flours} => {Root Vegetables}",0.0104662226450999,0.42512077294686,0.0246194100856327,1.02920111112502,88
"95","{Root Vegetables} => {Organic Flours}",0.0104662226450999,0.0253383242153758,0.413058991436727,1.02920111112502,88
"96","{Basmati Rice} => {Other Dals}",0.0102283539486204,0.353909465020576,0.0289010466222645,1.52442150711732,86
"97","{Other Dals} => {Basmati Rice}",0.0102283539486204,0.0440573770491803,0.232159847764034,1.52442150711732,86
"98","{Basmati Rice} => {Root Vegetables}",0.0101094196003806,0.349794238683128,0.0289010466222645,0.846838456333929,85
"99","{Root Vegetables} => {Basmati Rice}",0.0101094196003806,0.0244745177080334,0.413058991436727,0.846838456333929,85
"100","{Basmati Rice} => {Other Vegetables}",0.010941960038059,0.378600823045267,0.0289010466222645,0.887200590904295,92
"101","{Other Vegetables} => {Basmati Rice}",0.010941960038059,0.0256410256410256,0.426736441484301,0.887200590904295,92
"102","{Cooking Paste} => {Beans}",0.0117745004757374,0.432314410480349,0.0272359657469077,1.08601719848186,99
"103","{Beans} => {Cooking Paste}",0.0117745004757374,0.0295787272184045,0.398073263558516,1.08601719848186,99
"104","{Cooking Paste} => {Root Vegetables}",0.0143910561370124,0.528384279475983,0.0272359657469077,1.27919810591249,121
"105","{Root Vegetables} => {Cooking Paste}",0.0143910561370124,0.0348401957961417,0.413058991436727,1.27919810591249,121
"106","{Cooking Paste} => {Other Vegetables}",0.0127259752616556,0.467248908296943,0.0272359657469077,1.09493556882963,107
"107","{Other Vegetables} => {Cooking Paste}",0.0127259752616556,0.0298216276477146,0.426736441484301,1.09493556882963,107
"108","{Mosquito Repellent} => {Beans}",0.0107040913415794,0.379746835443038,0.0281874405328259,0.953962172812986,90
"109","{Beans} => {Mosquito Repellent}",0.0107040913415794,0.0268897520167314,0.398073263558516,0.953962172812986,90
"110","{Mosquito Repellent} => {Root Vegetables}",0.0121313035204567,0.430379746835443,0.0281874405328259,1.04193288551466,102
"111","{Root Vegetables} => {Mosquito Repellent}",0.0121313035204567,0.0293694212496401,0.413058991436727,1.04193288551466,102
"112","{Mosquito Repellent} => {Other Vegetables}",0.0127259752616556,0.451476793248945,0.0281874405328259,1.057975718405,107
"113","{Other Vegetables} => {Mosquito Repellent}",0.0127259752616556,0.0298216276477146,0.426736441484301,1.057975718405,107
"114","{Organic Rice & Rice Products} => {Banana}",0.0102283539486204,0.302816901408451,0.0337773549000951,1.16632364042247,86
"115","{Banana} => {Organic Rice & Rice Products}",0.0102283539486204,0.0393953275309208,0.259633682207422,1.16632364042247,86
"116","{Organic Rice & Rice Products} => {Beans}",0.0107040913415794,0.316901408450704,0.0337773549000951,0.796088151255907,90
"117","{Beans} => {Organic Rice & Rice Products}",0.0107040913415794,0.0268897520167314,0.398073263558516,0.796088151255907,90
"118","{Organic Rice & Rice Products} => {Root Vegetables}",0.0123691722169363,0.366197183098592,0.0337773549000951,0.886549356606092,104
"119","{Root Vegetables} => {Organic Rice & Rice Products}",0.0123691722169363,0.029945292254535,0.413058991436727,0.886549356606092,104
"120","{Organic Rice & Rice Products} => {Other Vegetables}",0.0143910561370124,0.426056338028169,0.0337773549000951,0.998406268155197,121
"121","{Other Vegetables} => {Organic Rice & Rice Products}",0.0143910561370124,0.0337235228539576,0.426736441484301,0.998406268155197,121
"122","{Ground Coffee} => {Toor Dal}",0.0104662226450999,0.31095406360424,0.0336584205518554,2.04737804759941,88
"123","{Toor Dal} => {Ground Coffee}",0.0104662226450999,0.0689115113547377,0.151879162702188,2.04737804759941,88
"124","{Ground Coffee} => {Whole Spices}",0.010941960038059,0.325088339222615,0.0336584205518554,1.5984460562478,92
"125","{Whole Spices} => {Ground Coffee}",0.010941960038059,0.0538011695906433,0.20337773549001,1.5984460562478,92
"126","{Ground Coffee} => {Beans}",0.0142721217887726,0.424028268551237,0.0336584205518554,1.06520157812333,120
"127","{Beans} => {Ground Coffee}",0.0142721217887726,0.0358530026889752,0.398073263558516,1.06520157812333,120
"128","{Ground Coffee} => {Root Vegetables}",0.0132017126546147,0.392226148409894,0.0336584205518554,0.949564484834549,111
"129","{Root Vegetables} => {Ground Coffee}",0.0132017126546147,0.0319608407716671,0.413058991436727,0.949564484834549,111
"130","{Ground Coffee} => {Other Vegetables}",0.0148667935299715,0.441696113074205,0.0336584205518554,1.03505599741581,125
"131","{Other Vegetables} => {Ground Coffee}",0.0148667935299715,0.0348383500557414,0.426736441484301,1.03505599741581,125
"132","{Rice Flour} => {Sooji & Rava}",0.0120123691722169,0.520618556701031,0.0230732635585157,3.947124278397,101
"133","{Sooji & Rava} => {Rice Flour}",0.0120123691722169,0.09107303877367,0.131898192197907,3.947124278397,101
"134","{Rice Flour} => {Sugar}",0.0101094196003806,0.438144329896907,0.0230732635585157,2.75536090184981,85
"135","{Sugar} => {Rice Flour}",0.0101094196003806,0.0635751682872102,0.159015223596575,2.75536090184981,85
"136","{Rice Flour} => {Toor Dal}",0.0112987630827783,0.489690721649485,0.0230732635585157,3.22421267629512,95
"137","{Toor Dal} => {Rice Flour}",0.0112987630827783,0.0743931088488645,0.151879162702188,3.22421267629512,95
"138","{Rice Flour} => {Whole Spices}",0.0117745004757374,0.510309278350515,0.0230732635585157,2.50916983179598,99
"139","{Whole Spices} => {Rice Flour}",0.0117745004757374,0.0578947368421053,0.20337773549001,2.50916983179598,99
"140","{Rice Flour} => {Other Dals}",0.0111798287345385,0.484536082474227,0.0230732635585157,2.08707960114923,94
"141","{Other Dals} => {Rice Flour}",0.0111798287345385,0.048155737704918,0.232159847764034,2.08707960114923,94
"142","{Rice Flour} => {Beans}",0.0108230256898192,0.469072164948454,0.0230732635585157,1.17835636775817,91
"143","{Beans} => {Rice Flour}",0.0108230256898192,0.0271885270391395,0.398073263558516,1.17835636775817,91
"144","{Rice Flour} => {Root Vegetables}",0.0102283539486204,0.443298969072165,0.0230732635585157,1.0732098278027,86
"145","{Root Vegetables} => {Rice Flour}",0.0102283539486204,0.0247624532104809,0.413058991436727,1.0732098278027,86
"146","{Rice Flour} => {Other Vegetables}",0.0114176974310181,0.494845360824742,0.0230732635585157,1.15960417887805,96
"147","{Other Vegetables} => {Rice Flour}",0.0114176974310181,0.0267558528428094,0.426736441484301,1.15960417887805,96
"148","{Chips} => {Namkeen}",0.0120123691722169,0.335548172757475,0.0357992388201713,2.29933906808871,101
"149","{Namkeen} => {Chips}",0.0120123691722169,0.0823145884270579,0.1459324452902,2.29933906808871,101
"150","{Chips} => {Banana}",0.0105851569933397,0.295681063122924,0.0357992388201713,1.13883938558751,89
"151","{Banana} => {Chips}",0.0105851569933397,0.0407695831424645,0.259633682207422,1.13883938558751,89
"152","{Chips} => {Beans}",0.0153425309229305,0.428571428571429,0.0357992388201713,1.07661445217466,129
"153","{Beans} => {Chips}",0.0153425309229305,0.0385419778906483,0.398073263558516,1.07661445217466,129
"154","{Chips} => {Root Vegetables}",0.0171265461465271,0.478405315614618,0.0357992388201713,1.15820094836963,144
"155","{Root Vegetables} => {Chips}",0.0171265461465271,0.0414627123524331,0.413058991436727,1.15820094836962,144
"156","{Chips} => {Other Vegetables}",0.013558515699334,0.378737541528239,0.0357992388201713,0.88752097245525,114
"157","{Other Vegetables} => {Chips}",0.013558515699334,0.0317725752508361,0.426736441484301,0.88752097245525,114
"158","{Snacky Nuts} => {Namkeen}",0.0212892483349191,0.537537537537538,0.039605137963844,3.68346830938518,179
"159","{Namkeen} => {Snacky Nuts}",0.0212892483349191,0.145884270578647,0.1459324452902,3.68346830938518,179
"160","{Snacky Nuts} => {Organic F&V}",0.0117745004757374,0.297297297297297,0.039605137963844,1.76655524782733,99
"161","{Organic F&V} => {Snacky Nuts}",0.0117745004757374,0.0699646643109541,0.168292102759277,1.76655524782733,99
"162","{Snacky Nuts} => {Banana}",0.0190294957183635,0.48048048048048,0.039605137963844,1.85060919829587,160
"163","{Banana} => {Snacky Nuts}",0.0190294957183635,0.0732936326156665,0.259633682207422,1.85060919829587,160
"164","{Snacky Nuts} => {Other Dals}",0.0102283539486204,0.258258258258258,0.039605137963844,1.11241569438291,86
"165","{Other Dals} => {Snacky Nuts}",0.0102283539486204,0.0440573770491803,0.232159847764034,1.11241569438291,86
"166","{Snacky Nuts} => {Beans}",0.0160561370123692,0.405405405405405,0.039605137963844,1.01841907638143,135
"167","{Beans} => {Snacky Nuts}",0.0160561370123692,0.0403346280250971,0.398073263558516,1.01841907638143,135
"168","{Snacky Nuts} => {Root Vegetables}",0.0183158896289248,0.462462462462462,0.039605137963844,1.11960391142654,154
"169","{Root Vegetables} => {Snacky Nuts}",0.0183158896289248,0.0443420673769076,0.413058991436727,1.11960391142654,154
"170","{Snacky Nuts} => {Other Vegetables}",0.0123691722169363,0.312312312312312,0.039605137963844,0.731862297079688,104
"171","{Other Vegetables} => {Snacky Nuts}",0.0123691722169363,0.0289855072463768,0.426736441484301,0.731862297079688,104
"172","{Organic Masalas & Spices} => {Organic F&V}",0.0115366317792578,0.33448275862069,0.0344909609895338,1.98751309857439,97
"173","{Organic F&V} => {Organic Masalas & Spices}",0.0115366317792578,0.0685512367491166,0.168292102759277,1.98751309857439,97
"174","{Organic Masalas & Spices} => {Beans}",0.0112987630827783,0.327586206896552,0.0344909609895338,0.822929437581777,95
"175","{Beans} => {Organic Masalas & Spices}",0.0112987630827783,0.028383627128772,0.398073263558516,0.822929437581777,95
"176","{Organic Masalas & Spices} => {Root Vegetables}",0.0161750713606089,0.468965517241379,0.0344909609895338,1.13534755800907,136
"177","{Root Vegetables} => {Organic Masalas & Spices}",0.0161750713606089,0.0391592283328534,0.413058991436727,1.13534755800908,136
"178","{Organic Masalas & Spices} => {Other Vegetables}",0.0121313035204567,0.351724137931034,0.0344909609895338,0.824218659900819,102
"179","{Other Vegetables} => {Organic Masalas & Spices}",0.0121313035204567,0.0284280936454849,0.426736441484301,0.824218659900819,102
"180","{Ghee} => {Toor Dal}",0.0116555661274976,0.348754448398576,0.0334205518553758,2.29626264850057,98
"181","{Toor Dal} => {Ghee}",0.0116555661274976,0.076742364917776,0.151879162702188,2.29626264850057,98
"182","{Ghee} => {Whole Spices}",0.0126070409134158,0.377224199288256,0.0334205518553758,1.85479594597407,106
"183","{Whole Spices} => {Ghee}",0.0126070409134158,0.0619883040935673,0.20337773549001,1.85479594597407,106
"184","{Ghee} => {Banana}",0.0102283539486204,0.306049822064057,0.0334205518553758,1.17877549423481,86
"185","{Banana} => {Ghee}",0.0102283539486204,0.0393953275309208,0.259633682207422,1.17877549423481,86
"186","{Ghee} => {Other Dals}",0.0120123691722169,0.359430604982206,0.0334205518553758,1.54820313867336,101
"187","{Other Dals} => {Ghee}",0.0120123691722169,0.0517418032786885,0.232159847764034,1.54820313867336,101
"188","{Ghee} => {Beans}",0.0117745004757374,0.352313167259786,0.0334205518553758,0.885046044314396,99
"189","{Beans} => {Ghee}",0.0117745004757374,0.0295787272184045,0.398073263558516,0.885046044314396,99
"190","{Ghee} => {Root Vegetables}",0.0145099904852521,0.434163701067616,0.0334205518553758,1.05109369380262,122
"191","{Root Vegetables} => {Ghee}",0.0145099904852521,0.0351281312985891,0.413058991436727,1.05109369380262,122
"192","{Ghee} => {Other Vegetables}",0.0127259752616556,0.380782918149466,0.0334205518553758,0.892314040078236,107
"193","{Other Vegetables} => {Ghee}",0.0127259752616556,0.0298216276477146,0.426736441484301,0.892314040078236,107
"194","{Liquid Soaps & Bars} => {Whole Spices}",0.0117745004757374,0.314285714285714,0.0374643196955281,1.54532999164578,99
"195","{Whole Spices} => {Liquid Soaps & Bars}",0.0117745004757374,0.0578947368421053,0.20337773549001,1.54532999164578,99
"196","{Liquid Soaps & Bars} => {Banana}",0.0121313035204567,0.323809523809524,0.0374643196955281,1.24717841328011,102
"197","{Banana} => {Liquid Soaps & Bars}",0.0121313035204567,0.0467246907924874,0.259633682207422,1.24717841328011,102
"198","{Liquid Soaps & Bars} => {Other Dals}",0.0114176974310181,0.304761904761905,0.0374643196955281,1.31272443403591,96
"199","{Other Dals} => {Liquid Soaps & Bars}",0.0114176974310181,0.0491803278688525,0.232159847764034,1.31272443403591,96
"200","{Liquid Soaps & Bars} => {Brinjals}",0.0101094196003806,0.26984126984127,0.0374643196955281,0.992921399048314,85
"201","{Brinjals} => {Liquid Soaps & Bars}",0.0101094196003806,0.037199124726477,0.271764985727878,0.992921399048314,85
"202","{Liquid Soaps & Bars} => {Beans}",0.0173644148430067,0.463492063492064,0.0374643196955281,1.16433859272222,146
"203","{Beans} => {Liquid Soaps & Bars}",0.0173644148430067,0.0436211532715865,0.398073263558516,1.16433859272222,146
"204","{Liquid Soaps & Bars} => {Root Vegetables}",0.0162940057088487,0.434920634920635,0.0374643196955281,1.05292620167368,137
"205","{Root Vegetables} => {Liquid Soaps & Bars}",0.0162940057088487,0.0394471638353009,0.413058991436727,1.05292620167368,137
"206","{Liquid Soaps & Bars} => {Other Vegetables}",0.0176022835394862,0.46984126984127,0.0374643196955281,1.10101042274955,148
"207","{Other Vegetables} => {Liquid Soaps & Bars}",0.0176022835394862,0.0412486064659978,0.426736441484301,1.10101042274955,148
"208","{Organic Dals & Pulses} => {Organic F&V}",0.016650808753568,0.401146131805158,0.0415080875356803,2.38363015987121,140
"209","{Organic F&V} => {Organic Dals & Pulses}",0.016650808753568,0.0989399293286219,0.168292102759277,2.38363015987121,140
"210","{Organic Dals & Pulses} => {Brinjals}",0.0118934348239772,0.286532951289398,0.0415080875356803,1.0543409428627,100
"211","{Brinjals} => {Organic Dals & Pulses}",0.0118934348239772,0.0437636761487965,0.271764985727878,1.0543409428627,100
"212","{Organic Dals & Pulses} => {Beans}",0.010941960038059,0.263610315186246,0.0415080875356803,0.662215575167601,92
"213","{Beans} => {Organic Dals & Pulses}",0.010941960038059,0.0274873020615477,0.398073263558516,0.662215575167601,92
"214","{Organic Dals & Pulses} => {Root Vegetables}",0.0193862987630828,0.467048710601719,0.0415080875356803,1.13070704253938,163
"215","{Root Vegetables} => {Organic Dals & Pulses}",0.0193862987630828,0.0469334868989346,0.413058991436727,1.13070704253938,163
"216","{Organic Dals & Pulses} => {Other Vegetables}",0.0153425309229305,0.369627507163324,0.0415080875356803,0.866172820576707,129
"217","{Other Vegetables} => {Organic Dals & Pulses}",0.0153425309229305,0.0359531772575251,0.426736441484301,0.866172820576707,129
"218","{Jaggery} => {Urad Dal}",0.0123691722169363,0.361111111111111,0.0342530922930542,3.52639050200026,104
"219","{Urad Dal} => {Jaggery}",0.0123691722169363,0.120789779326365,0.102402473834443,3.52639050200026,104
"220","{Jaggery} => {Sooji & Rava}",0.0126070409134158,0.368055555555556,0.0342530922930542,2.79045185853121,106
"221","{Sooji & Rava} => {Jaggery}",0.0126070409134158,0.0955816050495942,0.131898192197907,2.79045185853121,106
"222","{Jaggery} => {Moong Dal}",0.0111798287345385,0.326388888888889,0.0342530922930542,2.42641713331369,94
"223","{Moong Dal} => {Jaggery}",0.0111798287345385,0.0831122900088417,0.134514747859182,2.42641713331369,94
"224","{Jaggery} => {Sugar}",0.0145099904852521,0.423611111111111,0.0342530922930542,2.6639657608244,122
"225","{Sugar} => {Jaggery}",0.0145099904852521,0.0912490650710546,0.159015223596575,2.6639657608244,122
"226","{Jaggery} => {Toor Dal}",0.0136774500475737,0.399305555555556,0.0342530922930542,2.62910032193509,115
"227","{Toor Dal} => {Jaggery}",0.0136774500475737,0.0900548159749413,0.151879162702188,2.62910032193509,115
"228","{Jaggery} => {Whole Spices}",0.0170076117982873,0.496527777777778,0.0342530922930542,2.44140675763483,143
"229","{Whole Spices} => {Jaggery}",0.0170076117982873,0.083625730994152,0.20337773549001,2.44140675763483,143
"230","{Jaggery} => {Banana}",0.0104662226450999,0.305555555555556,0.0342530922930542,1.17687178704128,88
"231","{Banana} => {Jaggery}",0.0104662226450999,0.0403114979386166,0.259633682207422,1.17687178704128,88
"232","{Jaggery} => {Other Dals}",0.0129638439581351,0.378472222222222,0.0342530922930542,1.63022256375228,109
"233","{Other Dals} => {Jaggery}",0.0129638439581351,0.0558401639344262,0.232159847764034,1.63022256375228,109
"234","{Jaggery} => {Gourd & Cucumber}",0.0103472882968601,0.302083333333333,0.0342530922930542,1.0083035596136,87
"235","{Gourd & Cucumber} => {Jaggery}",0.0103472882968601,0.0345375148868599,0.299595623215985,1.0083035596136,87
"236","{Jaggery} => {Beans}",0.0143910561370124,0.420138888888889,0.0342530922930542,1.05543106596289,121
"237","{Beans} => {Jaggery}",0.0143910561370124,0.0361517777113833,0.398073263558516,1.05543106596289,121
"238","{Jaggery} => {Root Vegetables}",0.0165318744053283,0.482638888888889,0.0342530922930542,1.16845026714016,139
"239","{Root Vegetables} => {Jaggery}",0.0165318744053283,0.0400230348401958,0.413058991436727,1.16845026714016,139
"240","{Jaggery} => {Other Vegetables}",0.0153425309229305,0.447916666666667,0.0342530922930542,1.04963303604608,129
"241","{Other Vegetables} => {Jaggery}",0.0153425309229305,0.0359531772575251,0.426736441484301,1.04963303604608,129
"242","{Raisins} => {Other Dry Fruits}",0.012488106565176,0.280748663101604,0.0444814462416746,4.9177807486631,105
"243","{Other Dry Fruits} => {Raisins}",0.012488106565176,0.21875,0.0570884871550904,4.9177807486631,105
"244","{Raisins} => {Almonds}",0.0128449096098953,0.288770053475936,0.0444814462416746,4.66918963389552,108
"245","{Almonds} => {Raisins}",0.0128449096098953,0.207692307692308,0.0618458610846813,4.66918963389552,108
"246","{Raisins} => {Cashews}",0.0179590865842055,0.403743315508021,0.0444814462416746,6.51568866946534,151
"247","{Cashews} => {Raisins}",0.0179590865842055,0.289827255278311,0.061964795432921,6.51568866946534,151
"248","{Raisins} => {Sooji & Rava}",0.0111798287345385,0.251336898395722,0.0444814462416746,1.90553709802636,94
"249","{Sooji & Rava} => {Raisins}",0.0111798287345385,0.084761045987376,0.131898192197907,1.90553709802636,94
"250","{Raisins} => {Moong Dal}",0.0111798287345385,0.251336898395722,0.0444814462416746,1.86847094757845,94
"251","{Moong Dal} => {Raisins}",0.0111798287345385,0.0831122900088417,0.134514747859182,1.86847094757845,94
"252","{Raisins} => {Toor Dal}",0.0117745004757374,0.264705882352941,0.0444814462416746,1.74287162006541,99
"253","{Toor Dal} => {Raisins}",0.0117745004757374,0.0775254502740799,0.151879162702188,1.74287162006541,99
"254","{Raisins} => {Whole Spices}",0.0153425309229305,0.344919786096257,0.0444814462416746,1.69595646871189,129
"255","{Whole Spices} => {Raisins}",0.0153425309229305,0.0754385964912281,0.20337773549001,1.69595646871189,129
"256","{Raisins} => {Banana}",0.0152235965746908,0.342245989304813,0.0444814462416746,1.31818794231556,128
"257","{Banana} => {Raisins}",0.0152235965746908,0.0586349060925332,0.259633682207422,1.31818794231556,128
"258","{Raisins} => {Other Dals}",0.0158182683158896,0.355614973262032,0.0444814462416746,1.53176777417375,133
"259","{Other Dals} => {Raisins}",0.0158182683158896,0.0681352459016393,0.232159847764034,1.53176777417375,133
"260","{Raisins} => {Brinjals}",0.013558515699334,0.304812834224599,0.0444814462416746,1.12160451210522,114
"261","{Brinjals} => {Raisins}",0.013558515699334,0.049890590809628,0.271764985727878,1.12160451210522,114
"262","{Raisins} => {Gourd & Cucumber}",0.0132017126546147,0.296791443850267,0.0444814462416746,0.990640119052421,111
"263","{Gourd & Cucumber} => {Raisins}",0.0132017126546147,0.0440651052004764,0.299595623215985,0.990640119052421,111
"264","{Raisins} => {Beans}",0.0190294957183635,0.427807486631016,0.0444814462416746,1.07469535332942,160
"265","{Beans} => {Raisins}",0.0190294957183635,0.0478040035853003,0.398073263558516,1.07469535332942,160
"266","{Raisins} => {Root Vegetables}",0.0214081826831589,0.481283422459893,0.0444814462416746,1.16516873482372,180
